Wvlgth nm;Etr W*m-2*nm-1;Global tilt  W*m-2*nm-1;Direct+circumsolar W*m-2*nm-1
662;1,57100;1,3819E+00;1,2518E+00
663;1,56300;1,3844E+00;1,2539E+00
664;1,55400;1,3967E+00;1,2647E+00
665;1,56700;1,4214E+00;1,2871E+00
666;1,55500;1,4203E+00;1,2860E+00
667;1,53540;1,4102E+00;1,2767E+00
668;1,53480;1,4150E+00;1,2810E+00
669;1,55800;1,4394E+00;1,3032E+00
670;1,53400;1,4196E+00;1,2853E+00
671;1,52900;1,4169E+00;1,2829E+00
672;1,50600;1,3972E+00;1,2651E+00
673;1,51700;1,4094E+00;1,2760E+00
674;1,51300;1,4074E+00;1,2742E+00
675;1,49900;1,3958E+00;1,2639E+00
676;1,51500;1,4120E+00;1,2786E+00
677;1,50000;1,3991E+00;1,2669E+00
678;1,50700;1,4066E+00;1,2737E+00
679;1,49300;1,3947E+00;1,2629E+00
680;1,49400;1,3969E+00;1,2650E+00
681;1,48700;1,3915E+00;1,2601E+00
682;1,49300;1,3981E+00;1,2662E+00
683;1,47600;1,3830E+00;1,2526E+00
684;1,46600;1,3739E+00;1,2445E+00
685;1,46500;1,3748E+00;1,2454E+00
686;1,43300;1,3438E+00;1,2174E+00
687;1,47200;9,6824E-01;8,8285E-01
688;1,47600;1,1206E+00;1,0195E+00
689;1,47800;1,1278E+00;1,0260E+00
690;1,47900;1,1821E+00;1,0746E+00
691;1,46800;1,2333E+00;1,1201E+00
692;1,45400;1,2689E+00;1,1516E+00
693;1,45800;1,2609E+00;1,1446E+00
694;1,45700;1,2464E+00;1,1318E+00
695;1,43500;1,2714E+00;1,1538E+00
696;1,44200;1,2684E+00;1,1513E+00
697;1,43800;1,3403E+00;1,2151E+00
698;1,41700;1,3192E+00;1,1961E+00
699;1,43400;1,2918E+00;1,1721E+00
700;1,42200;1,2823E+00;1,1636E+00
701;1,41310;1,2659E+00;1,1489E+00
702;1,39870;1,2674E+00;1,1500E+00
703;1,40950;1,2747E+00;1,1567E+00
704;1,41870;1,3078E+00;1,1864E+00
705;1,43300;1,3214E+00;1,1989E+00
706;1,41380;1,3144E+00;1,1925E+00
707;1,40400;1,3090E+00;1,1875E+00
708;1,39900;1,3048E+00;1,1839E+00
709;1,39000;1,3095E+00;1,1880E+00
710;1,40400;1,3175E+00;1,1954E+00
711;1,39700;1,3155E+00;1,1934E+00
712;1,38180;1,3071E+00;1,1856E+00
713;1,37020;1,2918E+00;1,1719E+00
714;1,38190;1,3029E+00;1,1823E+00
715;1,35020;1,2587E+00;1,1428E+00
716;1,36940;1,2716E+00;1,1548E+00
717;1,36500;1,1071E+00;1,0081E+00
718;1,35700;1,0296E+00;9,3873E-01
719;1,30100;9,2318E-01;8,4274E-01
720;1,34870;9,8550E-01;8,9940E-01
721;1,34800;1,0861E+00;9,8967E-01
722;1,36000;1,2407E+00;1,1281E+00
723;1,35100;1,1444E+00;1,0423E+00
724;1,36070;1,0555E+00;9,6305E-01
725;1,34650;1,0380E+00;9,4741E-01
726;1,34290;1,0813E+00;9,8638E-01
727;1,34440;1,0850E+00;9,8988E-01
728;1,33700;1,0400E+00;9,4968E-01
729;1,27960;1,0466E+00;9,5503E-01
730;1,33570;1,1285E+00;1,0294E+00
731;1,31040;1,0703E+00;9,7702E-01
732;1,33330;1,1534E+00;1,0520E+00
733;1,31080;1,1962E+00;1,0901E+00
734;1,33900;1,2357E+00;1,1261E+00
735;1,32710;1,2178E+00;1,1101E+00
736;1,31000;1,2059E+00;1,0994E+00
737;1,31200;1,2039E+00;1,0978E+00
738;1,30000;1,2269E+00;1,1184E+00
739;1,26460;1,1905E+00;1,0855E+00
740;1,28300;1,2195E+00;1,1119E+00
741;1,27070;1,2148E+00;1,1078E+00
742;1,26490;1,2153E+00;1,1084E+00
743;1,28920;1,2405E+00;1,1316E+00
744;1,29550;1,2503E+00;1,1408E+00
745;1,29200;1,2497E+00;1,1404E+00
746;1,28920;1,2470E+00;1,1381E+00
747;1,28900;1,2477E+00;1,1389E+00
748;1,28080;1,2401E+00;1,1323E+00
749;1,27600;1,2357E+00;1,1286E+00
750;1,27400;1,2341E+00;1,1273E+00
751;1,26800;1,2286E+00;1,1224E+00
752;1,27200;1,2330E+00;1,1265E+00
753;1,26500;1,2266E+00;1,1210E+00
754;1,28090;1,2420E+00;1,1353E+00
755;1,27710;1,2383E+00;1,1321E+00
756;1,26100;1,2232E+00;1,1185E+00
757;1,25980;1,2221E+00;1,1176E+00
758;1,26800;1,2295E+00;1,1246E+00
759;1,25000;1,1945E+00;1,0932E+00
760;1,25900;2,6604E-01;2,4716E-01
761;1,24870;1,5396E-01;1,4328E-01
762;1,24600;6,8766E-01;6,3491E-01
763;1,25430;3,7952E-01;3,5217E-01
764;1,25660;5,3878E-01;4,9885E-01
765;1,24520;6,8601E-01;6,3377E-01
766;1,20000;8,1461E-01;7,5080E-01
767;1,21200;9,7417E-01;8,9574E-01
768;1,23100;1,1138E+00;1,0222E+00
769;1,21420;1,1278E+00;1,0347E+00
770;1,21460;1,1608E+00;1,0646E+00
771;1,20730;1,1686E+00;1,0716E+00
772;1,21200;1,1778E+00;1,0802E+00
773;1,21000;1,1771E+00;1,0797E+00
774;1,20900;1,1771E+00;1,0800E+00
775;1,20800;1,1771E+00;1,0801E+00
776;1,21020;1,1798E+00;1,0827E+00
777;1,20280;1,1727E+00;1,0764E+00
778;1,20140;1,1713E+00;1,0754E+00
779;1,20670;1,1765E+00;1,0803E+00
780;1,19300;1,1636E+00;1,0687E+00
781;1,18980;1,1607E+00;1,0662E+00
782;1,19500;1,1662E+00;1,0714E+00
783;1,18960;1,1614E+00;1,0672E+00
784;1,18100;1,1536E+00;1,0602E+00
785;1,18740;1,1586E+00;1,0649E+00
786;1,18900;1,1592E+00;1,0656E+00
787;1,18770;1,1450E+00;1,0530E+00
788;1,18000;1,1305E+00;1,0399E+00
789;1,18120;1,1257E+00;1,0359E+00
790;1,17040;1,0910E+00;1,0045E+00
791;1,16320;1,1058E+00;1,0179E+00
792;1,15000;1,0953E+00;1,0084E+00
793;1,14490;1,0875E+00;1,0015E+00
794;1,12600;1,0972E+00;1,0101E+00
795;1,12800;1,0932E+00;1,0066E+00
796;1,14270;1,0742E+00;9,8985E-01
797;1,15800;1,0913E+00;1,0057E+00
798;1,15010;1,1121E+00;1,0245E+00
799;1,13500;1,0905E+00;1,0048E+00
800;1,12480;1,0725E+00;9,8859E-01
801;1,14270;1,0843E+00;9,9978E-01
802;1,14220;1,0856E+00;1,0011E+00
803;1,12410;1,0657E+00;9,8288E-01
804;1,13420;1,0782E+00;9,9452E-01
805;1,10010;1,0545E+00;9,7270E-01
806;1,13090;1,0974E+00;1,0122E+00
807;1,12300;1,0859E+00;1,0018E+00
808;1,11620;1,0821E+00;9,9844E-01
809;1,09800;1,0548E+00;9,7353E-01
810;1,11000;1,0559E+00;9,7488E-01
811;1,11430;1,0533E+00;9,7273E-01
812;1,11600;1,0268E+00;9,4882E-01
813;1,11800;1,0086E+00;9,3236E-01
814;1,11740;9,0356E-01;8,3681E-01
815;1,10910;8,9523E-01;8,2927E-01
816;1,10500;8,3216E-01;7,7171E-01
817;1,10830;8,5183E-01;7,8984E-01
818;1,08610;8,2259E-01;7,6299E-01
819;1,07380;9,0519E-01;8,3844E-01
820;1,07400;8,6188E-01;7,9899E-01
821;1,07600;9,9764E-01;9,2292E-01
822;1,05600;9,5157E-01;8,8081E-01
823;1,07600;6,7271E-01;6,2576E-01
824;1,07150;9,3506E-01;8,6619E-01
825;1,06990;9,6935E-01;8,9752E-01
826;1,07590;9,3381E-01;8,6530E-01
827;1,07620;9,8465E-01;9,1178E-01
828;1,07490;8,4979E-01;7,8870E-01
829;1,06200;9,2930E-01;8,6135E-01
830;1,05630;9,1601E-01;8,4930E-01
831;1,05600;9,2392E-01;8,5666E-01
832;1,05500;8,9426E-01;8,2961E-01
833;1,03270;9,5650E-01;8,8622E-01
834;1,04590;9,3412E-01;8,6608E-01
835;1,04760;1,0032E+00;9,2917E-01
836;1,05970;9,7234E-01;9,0135E-01
837;1,05110;1,0092E+00;9,3493E-01
838;1,05490;9,9901E-01;9,2585E-01
839;1,04000;1,0013E+00;9,2783E-01
840;1,05000;1,0157E+00;9,4124E-01
841;1,05200;1,0101E+00;9,3626E-01
842;1,02870;9,9703E-01;9,2411E-01
843;1,02710;1,0053E+00;9,3171E-01
844;1,01400;9,8631E-01;9,1434E-01
845;1,03600;1,0165E+00;9,4226E-01
846;1,03700;1,0187E+00;9,4447E-01
847;1,00600;9,9170E-01;9,1947E-01
848;1,01100;9,9217E-01;9,2010E-01
849;1,00500;9,8596E-01;9,1447E-01
850;0,91000;8,9372E-01;8,2900E-01
851;0,99800;9,7493E-01;9,0454E-01
852;0,99000;9,6927E-01;8,9942E-01
853;0,98100;9,6486E-01;8,9540E-01
854;0,86900;8,5112E-01;7,9000E-01
855;0,92700;9,1300E-01;8,4746E-01
856;0,99017;9,7317E-01;9,0343E-01
857;1,00560;9,9166E-01;9,2059E-01
858;1,00700;9,9196E-01;9,2094E-01
859;1,00500;9,9171E-01;9,2081E-01
860;1,00000;9,8816E-01;9,1764E-01
861;0,99900;9,8679E-01;9,1648E-01
862;1,00600;9,9449E-01;9,2367E-01
863;1,01200;1,0005E+00;9,2934E-01
864;0,99006;9,7916E-01;9,0956E-01
865;0,97354;9,6324E-01;8,9487E-01
866;0,85800;8,4900E-01;7,8882E-01
867;0,92500;9,1546E-01;8,5066E-01
868;0,96900;9,5920E-01;8,9140E-01
869;0,95900;9,4956E-01;8,8252E-01
870;0,97700;9,6755E-01;8,9933E-01
871;0,96317;9,5387E-01;8,8671E-01
872;0,97600;9,6686E-01;8,9887E-01
873;0,96614;9,5721E-01;8,8999E-01
874;0,94913;9,4042E-01;8,7451E-01
875;0,93562;9,2687E-01;8,6204E-01
876;0,96200;9,5277E-01;8,8625E-01
877;0,96500;9,5615E-01;8,8948E-01
878;0,96200;9,5237E-01;8,8607E-01
879;0,94571;9,3656E-01;8,7144E-01
880;0,94856;9,3957E-01;8,7434E-01
881;0,91963;9,0861E-01;8,4563E-01
882;0,94408;9,3245E-01;8,6787E-01
883;0,93930;9,2927E-01;8,6494E-01
884;0,94352;9,3305E-01;8,6859E-01
885;0,95469;9,4423E-01;8,7913E-01
886;0,92558;9,0752E-01;8,4515E-01
887;0,92300;9,1062E-01;8,4799E-01
888;0,94066;9,2228E-01;8,5899E-01
889;0,94367;9,3455E-01;8,7041E-01
890;0,94236;9,2393E-01;8,6078E-01
891;0,93928;9,2584E-01;8,6255E-01
892;0,93259;9,0881E-01;8,4688E-01
893;0,91800;8,7327E-01;8,1412E-01
894;0,92400;8,5130E-01;7,9413E-01
895;0,92600;8,1357E-01;7,5956E-01
896;0,93425;7,6253E-01;7,1265E-01
897;0,92686;6,6566E-01;6,2310E-01
898;0,92378;7,1780E-01;6,7137E-01
899;0,91396;5,4871E-01;5,1461E-01
900;0,91378;7,4260E-01;6,9429E-01
901;0,89834;5,9933E-01;5,6162E-01
902;0,87720;6,6791E-01;6,2500E-01
903;0,92233;6,8889E-01;6,4483E-01
904;0,92100;8,4457E-01;7,8862E-01
905;0,91800;8,1709E-01;7,6337E-01
906;0,90780;7,7558E-01;7,2502E-01
907;0,91450;6,3854E-01;5,9833E-01
908;0,90143;6,5217E-01;6,1091E-01
909;0,88552;7,0431E-01;6,5912E-01
910;0,89496;6,2467E-01;5,8553E-01
911;0,89730;6,6808E-01;6,2580E-01
912;0,89016;6,8893E-01;6,4508E-01
913;0,90020;6,2834E-01;5,8906E-01
914;0,89820;6,2649E-01;5,8740E-01
915;0,88830;6,7836E-01;6,3550E-01
916;0,89470;5,7646E-01;5,4099E-01
917;0,88860;7,3017E-01;6,8350E-01
918;0,88810;5,9271E-01;5,5612E-01
919;0,89210;7,3877E-01;6,9161E-01
920;0,88540;7,4414E-01;6,9657E-01
921;0,87030;7,8049E-01;7,3004E-01
922;0,86280;7,0026E-01;6,5584E-01
923;0,83335;7,4504E-01;6,9698E-01
924;0,86957;7,2150E-01;6,7571E-01
925;0,87642;7,1110E-01;6,6621E-01
926;0,84561;7,0331E-01;6,5875E-01
927;0,87809;7,8742E-01;7,3684E-01
928;0,87110;5,8968E-01;5,5363E-01
929;0,86954;5,5127E-01;5,1792E-01
930;0,86866;4,3210E-01;4,0679E-01
931;0,87078;4,0921E-01;3,8540E-01
932;0,86514;3,0086E-01;2,8386E-01
933;0,86958;2,4841E-01;2,3459E-01
934;0,86709;1,4380E-01;1,3604E-01
935;0,85601;2,5084E-01;2,3690E-01
936;0,85222;1,6142E-01;1,5267E-01
937;0,85368;1,6338E-01;1,5453E-01
938;0,85936;2,0058E-01;1,8962E-01
939;0,85676;3,9887E-01;3,7591E-01
940;0,84000;4,7181E-01;4,4411E-01
941;0,83153;3,7195E-01;3,5071E-01
942;0,80616;4,0532E-01;3,8192E-01
943;0,83814;2,7834E-01;2,6289E-01
944;0,81854;2,8579E-01;2,6987E-01
945;0,82441;3,6821E-01;3,4729E-01
946;0,83138;1,9461E-01;1,8409E-01
947;0,82809;3,7112E-01;3,5010E-01
948;0,83137;2,7423E-01;2,5911E-01
949;0,83303;4,9396E-01;4,6514E-01
950;0,82867;1,4726E-01;1,3944E-01
951;0,82019;4,8378E-01;4,5563E-01
952;0,82402;2,6891E-01;2,5418E-01
953;0,82050;3,4362E-01;3,2442E-01
954;0,81200;4,2411E-01;3,9988E-01
955;0,76900;3,4117E-01;3,2204E-01
956;0,80200;3,2821E-01;3,0996E-01
957;0,80583;2,7067E-01;2,5591E-01
958;0,81147;4,6101E-01;4,3453E-01
959;0,81483;3,7385E-01;3,5294E-01
960;0,80627;4,2066E-01;3,9685E-01
961;0,79982;4,6120E-01;4,3481E-01
962;0,80173;4,4174E-01;4,1664E-01
963;0,79761;5,0503E-01;4,7585E-01
964;0,78808;4,5860E-01;4,3242E-01
965;0,79579;5,0374E-01;4,7469E-01
966;0,78598;5,0275E-01;4,7377E-01
967;0,79503;5,0240E-01;4,7353E-01
968;0,78526;6,5210E-01;6,1301E-01
969;0,78789;6,8622E-01;6,4480E-01
970;0,79140;6,3461E-01;5,9689E-01
971;0,78186;7,1397E-01;6,7059E-01
972;0,78785;6,8765E-01;6,4629E-01
973;0,78149;6,0648E-01;5,7081E-01
974;0,76882;5,7529E-01;5,4170E-01
975;0,77348;5,8987E-01;5,5536E-01
976;0,78054;5,7191E-01;5,3872E-01
977;0,77208;6,3864E-01;6,0084E-01
978;0,77800;6,1509E-01;5,7903E-01
979;0,76650;6,3815E-01;6,0046E-01
980;0,77512;6,0468E-01;5,6941E-01
981;0,77300;7,1338E-01;6,7058E-01
982;0,77879;6,9218E-01;6,5102E-01
983;0,77541;6,6865E-01;6,2915E-01
984;0,76881;7,3732E-01;6,9290E-01
985;0,77081;6,8817E-01;6,4734E-01
986;0,76620;7,5083E-01;7,0553E-01
987;0,76606;7,3928E-01;6,9489E-01
988;0,76368;7,3462E-01;6,9059E-01
989;0,75500;7,4906E-01;7,0391E-01
990;0,75694;7,3227E-01;6,8843E-01
991;0,76161;7,5358E-01;7,0833E-01
992;0,75714;7,5102E-01;7,0597E-01
993;0,75639;7,3728E-01;6,9325E-01
994;0,75851;7,5410E-01;7,0891E-01
995;0,75392;7,5176E-01;7,0673E-01
996;0,75347;7,4884E-01;7,0409E-01
997;0,74300;7,3971E-01;6,9555E-01
998;0,74300;7,3887E-01;6,9481E-01
999;0,74200;7,3857E-01;6,9455E-01
1000;0,74255;7,3532E-01;6,9159E-01
1001;0,74741;7,4442E-01;7,0013E-01
1002;0,74677;7,2805E-01;6,8498E-01
1003;0,73836;7,3442E-01;6,9086E-01
1004;0,73133;7,2336E-01;6,8056E-01
1005;0,68365;6,8174E-01;6,4140E-01
1006;0,71770;7,1252E-01;6,7047E-01
1007;0,73093;7,2753E-01;6,8463E-01
1008;0,73339;7,2685E-01;6,8407E-01
1009;0,72934;7,1972E-01;6,7742E-01
1010;0,73055;7,1914E-01;6,7695E-01
1011;0,72562;7,2278E-01;6,8034E-01
1012;0,72496;7,1877E-01;6,7667E-01
1013;0,71960;7,1761E-01;6,7556E-01
1014;0,72265;7,2068E-01;6,7848E-01
1015;0,71062;7,0817E-01;6,6676E-01
1016;0,71419;7,1129E-01;6,6976E-01
1017;0,70659;7,0337E-01;6,6237E-01
1018;0,71566;7,1422E-01;6,7263E-01
1019;0,69606;6,8878E-01;6,4880E-01
1020;0,70127;6,9896E-01;6,5839E-01
1021;0,70300;7,0175E-01;6,6107E-01
1022;0,69300;6,8970E-01;6,4980E-01
1023;0,69900;6,9508E-01;6,5490E-01
1024;0,70057;6,9058E-01;6,5077E-01
1025;0,69918;6,9753E-01;6,5727E-01
1026;0,69943;6,9636E-01;6,5625E-01
1027;0,69594;6,9305E-01;6,5318E-01
1028;0,69722;6,9385E-01;6,5398E-01
1029;0,69000;6,8628E-01;6,4687E-01
1030;0,69208;6,9055E-01;6,5092E-01
1031;0,68985;6,8736E-01;6,4799E-01
1032;0,68960;6,8787E-01;6,4852E-01
1033;0,67800;6,7613E-01;6,3751E-01
1034;0,68181;6,8015E-01;6,4136E-01
1035;0,68400;6,8234E-01;6,4348E-01
1036;0,68431;6,8202E-01;6,4323E-01
1037;0,67731;6,7497E-01;6,3664E-01
1038;0,67400;6,7172E-01;6,3361E-01
1039;0,67900;6,7636E-01;6,3802E-01
1040;0,67440;6,7170E-01;6,3366E-01
1041;0,67490;6,7176E-01;6,3379E-01
1042;0,67516;6,7200E-01;6,3406E-01
1043;0,66860;6,6525E-01;6,2773E-01
1044;0,67199;6,6833E-01;6,3067E-01
1045;0,66846;6,6452E-01;6,2712E-01
1046;0,65131;6,4714E-01;6,1078E-01
1047;0,66155;6,5694E-01;6,2008E-01
1048;0,66781;6,6274E-01;6,2559E-01
1049;0,66491;6,5896E-01;6,2206E-01
1050;0,66117;6,5463E-01;6,1802E-01
1051;0,66182;6,5521E-01;6,1862E-01
1052;0,65848;6,5118E-01;6,1487E-01
1053;0,65698;6,4919E-01;6,1302E-01
1054;0,65474;6,4646E-01;6,1048E-01
1055;0,65753;6,4847E-01;6,1242E-01
1056;0,65629;6,4641E-01;6,1055E-01
1057;0,65540;6,4482E-01;6,0910E-01
1058;0,64937;6,3818E-01;6,0286E-01
1059;0,63046;6,1875E-01;5,8453E-01
1060;0,64831;6,3585E-01;6,0073E-01
1061;0,63387;6,2121E-01;5,8694E-01
1062;0,64651;6,3266E-01;5,9782E-01
1063;0,63669;6,2239E-01;5,8815E-01
1064;0,64621;6,3196E-01;5,9722E-01
1065;0,64533;6,2913E-01;5,9461E-01
1066;0,63139;6,1713E-01;5,8330E-01
1067;0,63517;6,2032E-01;5,8637E-01
1068;0,63591;6,1944E-01;5,8561E-01
1069;0,60084;5,8626E-01;5,5428E-01
1070;0,62165;6,0469E-01;5,7178E-01
1071;0,62821;6,1661E-01;5,8304E-01
1072;0,63131;6,1536E-01;5,8194E-01
1073;0,61796;6,0363E-01;5,7086E-01
1074;0,63063;6,2158E-01;5,8780E-01
1075;0,61768;5,9252E-01;5,6054E-01
1076;0,62468;6,1471E-01;5,8141E-01
1077;0,62426;6,0434E-01;5,7175E-01
1078;0,62531;6,0321E-01;5,7076E-01
1079;0,61203;6,0474E-01;5,7210E-01
1080;0,62250;5,9722E-01;5,6519E-01
1081;0,60726;5,8083E-01;5,4973E-01
1082;0,60249;5,8940E-01;5,5773E-01
1083;0,60900;5,9814E-01;5,6603E-01
1084;0,61392;5,7852E-01;5,4775E-01
1085;0,61181;5,9330E-01;5,6163E-01
1086;0,61570;5,5410E-01;5,2496E-01
1087;0,59145;5,6697E-01;5,3685E-01
1088;0,60728;5,9317E-01;5,6159E-01
1089;0,60908;5,7919E-01;5,4856E-01
1090;0,60442;5,5573E-01;5,2656E-01
1091;0,60799;5,8835E-01;5,5722E-01
1092;0,59692;5,8124E-01;5,5048E-01
1093;0,59221;5,1058E-01;4,8417E-01
1094;0,56065;5,3965E-01;5,1120E-01
1095;0,58252;5,2067E-01;4,9363E-01
1096;0,58600;5,0323E-01;4,7731E-01
1097;0,59100;5,7852E-01;5,4805E-01
1098;0,58700;5,0291E-01;4,7709E-01
1099;0,58216;5,0772E-01;4,8161E-01
1100;0,60000;4,8577E-01;4,6113E-01
1101;0,59900;4,9696E-01;4,7169E-01
1102;0,58202;4,6883E-01;4,4513E-01
1103;0,59500;4,6637E-01;4,4291E-01
1104;0,59300;4,6765E-01;4,4412E-01
1105;0,59100;5,0644E-01;4,8065E-01
1106;0,59000;3,9792E-01;3,7840E-01
1107;0,58600;4,8304E-01;4,5866E-01
1108;0,58650;4,1565E-01;3,9517E-01
1109;0,58550;4,1278E-01;3,9249E-01
1110;0,58700;4,7899E-01;4,5496E-01
1111;0,58250;3,3154E-01;3,1572E-01
1112;0,58342;4,1357E-01;3,9330E-01
1113;0,57800;2,6850E-01;2,5599E-01
1114;0,58400;2,9985E-01;2,8576E-01
1115;0,58200;2,4987E-01;2,3833E-01
1116;0,57500;2,0136E-01;1,9223E-01
1117;0,58300;7,9618E-02;7,6164E-02
1118;0,57222;2,1753E-01;2,0763E-01
1119;0,57151;1,1317E-01;1,0821E-01
1120;0,56850;1,4189E-01;1,3562E-01
1121;0,57200;1,8586E-01;1,7753E-01
1122;0,57500;8,1686E-02;7,8159E-02
1123;0,57400;1,2817E-01;1,2255E-01
1124;0,57250;1,0870E-01;1,0397E-01
1125;0,57012;1,4428E-01;1,3794E-01
1126;0,55300;5,1589E-02;4,9394E-02
1127;0,56179;1,5725E-01;1,5032E-01
1128;0,56829;9,9224E-02;9,4946E-02
1129;0,56837;1,0591E-01;1,0133E-01
1130;0,56401;7,0574E-02;6,7568E-02
1131;0,56800;2,9560E-01;2,8201E-01
1132;0,57000;2,3411E-01;2,2359E-01
1133;0,56186;1,5331E-01;1,4661E-01
1134;0,56346;4,1740E-02;3,9988E-02
1135;0,56250;1,5462E-02;1,4819E-02
1136;0,56481;1,2876E-01;1,2320E-01
1137;0,55197;2,8785E-01;2,7472E-01
1138;0,54400;2,0329E-01;1,9428E-01
1139;0,55300;2,9850E-01;2,8484E-01
1140;0,55573;2,5599E-01;2,4447E-01
1141;0,54303;1,9337E-01;1,8486E-01
1142;0,55531;2,2479E-01;2,1481E-01
1143;0,54960;3,1183E-01;2,9758E-01
1144;0,54501;1,1326E-01;1,0843E-01
1145;0,55001;1,4604E-01;1,3976E-01
1146;0,55407;1,5764E-01;1,5085E-01
1147;0,55408;5,9176E-02;5,6715E-02
1148;0,55032;2,7113E-01;2,5898E-01
1149;0,54788;2,1854E-01;2,0894E-01
1150;0,54623;1,2164E-01;1,1648E-01
1151;0,54531;2,0340E-01;1,9453E-01
1152;0,54170;2,4762E-01;2,3666E-01
1153;0,54308;2,3812E-01;2,2762E-01
1154;0,54651;1,4248E-01;1,3643E-01
1155;0,54731;3,1316E-01;2,9903E-01
1156;0,54022;2,8090E-01;2,6837E-01
1157;0,54370;3,1458E-01;3,0040E-01
1158;0,54334;3,1171E-01;2,9770E-01
1159;0,53548;3,3693E-01;3,2163E-01
1160;0,52928;2,8648E-01;2,7371E-01
1161;0,51899;3,4753E-01;3,3167E-01
1162;0,53336;3,5002E-01;3,3412E-01
1163;0,53708;4,6857E-01;4,4644E-01
1164;0,52684;4,0188E-01;3,8332E-01
1165;0,53482;3,8860E-01;3,7080E-01
1166;0,52227;3,7494E-01;3,5781E-01
1167;0,52984;4,0996E-01;3,9105E-01
